17:33:51
time to do symbolics	= 0.26183295249938965s 
time to do numerics	= 0.2714197635650635s 
t	x	x' 
-20.0	0.842071735976359	-0.014982224969490927 
-19.595959595959595	0.8358410816094543	-0.015858429629709465 
-19.19191919191919	0.8292426613007121	-0.016802503872517808 
-18.78787878787879	0.8222477381128621	-0.01782092810251278 
-18.383838383838384	0.8148248095590531	-0.01892090576719814 
-17.97979797979798	0.806939297138494	-0.02011045281040204 
-17.575757575757574	0.7985531973680454	-0.021398498498909638 
-17.171717171717173	0.7896246894504212	-0.022794998842524204 
-16.767676767676768	0.7801076942243078	-0.024311063812914684 
-16.363636363636363	0.7699513785686695	-0.025959099462333532 
-15.959595959595958	0.7590995990303334	-0.027752965789890713 
-15.555555555555555	0.7474902781848731	-0.029708150727160768 
-15.151515151515152	0.7350547072420137	-0.03184195978031845 
-14.747474747474747	0.7217167688453764	-0.03417371950534329 
-14.343434343434343	0.7073920751605794	-0.03672499081887149 
-13.93939393939394	0.6919870186013937	-0.03951978476149959 
-13.535353535353536	0.6753977365213607	-0.04258476811141109 
-13.131313131313131	0.6575089978147336	-0.04594943829077379 
-12.727272727272727	0.6381930300040936	-0.04964623492093235 
-12.323232323232324	0.6173083221150832	-0.05371053710486276 
-11.919191919191919	0.5946984645716952	-0.05818046789560066 
-11.515151515151516	0.5701911271983297	-0.06309638569708469 
-11.11111111111111	0.5435973373080545	-0.06849987931398029 
-10.707070707070708	0.5147113125810796	-0.074431988028827 
-10.303030303030303	0.48331124437136347	-0.08093022373090093 
-9.8989898989899	0.44916164109737117	-0.08802375339778928 
-9.494949494949495	0.41201816621757903	-0.09572576892581372 
-9.090909090909092	0.37163639801124726	-0.10402157053566427 
-8.686868686868687	0.3277866844826509	-0.11285013709878068 
-8.282828282828284	0.28027839222545514	-0.12207583701862174 
-7.878787878787879	0.22899853310589444	-0.13144530191585926 
-7.474747474747476	0.17397223909572954	-0.14052219946101843 
-7.070707070707071	0.11545612678580482	-0.14858968224019606 
-6.666666666666666	0.05408046053917811	-0.15450712828352647 
-6.262626262626263	-0.008938050375153252	-0.15650639533577018 
-5.858585858585858	-0.07148576784759043	-0.15191927825817197 
-5.454545454545455	-0.1301185781138281	-0.13685899140835853 
-5.05050505050505	-0.17950640527835493	-0.10597759271239068 
-4.646464646464647	-0.21185548339792215	-0.05269292655616682 
-4.242424242424242	-0.21669358970542857	0.029048770350333465 
-3.8383838383838373	-0.18212292987994555	0.13894719155095084 
-3.434343434343436	-0.10018663369027983	0.2555991988728875 
-3.030303030303031	0.01878186660065477	0.3084341300579184 
-2.6262626262626263	0.12000542535342518	0.1581247615550127 
-2.2222222222222214	0.09534693635615207	-0.2656002830507371 
-1.8181818181818201	-0.07006599277078131	-0.3694638436361535 
-1.4141414141414153	-0.006106925624729483	0.53785613092113 
-1.0101010101010104	-0.005276335277318481	-0.5384473595182301 
-0.6060606060606055	0.0418033956689563	-0.18235095686472264 
-0.20202020202020066	0.02716504419014325	-0.5741916398689663 
0.20202020202020066	-0.03193887355454748	-0.46911846449291783 
0.6060606060606055	-0.04196819527285135	-0.04921921220689257 
1.0101010101010104	-0.005385701871763114	-0.510864694871623 
1.4141414141414153	0.016030543880793457	0.4956202401643159 
1.8181818181818166	0.05792720555875541	-0.38531414902876826 
2.2222222222222214	-0.09892459804154016	-0.21688154509526897 
2.6262626262626263	-0.10595527055263465	0.18623793207100392 
3.030303030303031	-0.0002004064227984076	0.3012066193659124 
3.4343434343434325	0.11161137229509056	0.22889647187000992 
3.8383838383838373	0.18152756009405524	0.10776970430693662 
4.242424242424242	0.20401912210455347	0.0015279374994486838 
4.646464646464647	0.18929356316720344	-0.0734927505075284 
5.050505050505048	0.1499111078840665	-0.11967611219543475 
5.454545454545453	0.09623886830836956	-0.144226636092188 
5.858585858585858	0.035671317463538216	-0.15408061630607334 
6.262626262626263	-0.026923951935616426	-0.15457953802707386 
6.666666666666668	-0.0885306460186575	-0.14946628481615046 
7.070707070707069	-0.14739558815257447	-0.1412315976436508 
7.474747474747474	-0.20259150316436697	-0.1314761100516379 
7.878787878787879	-0.2537141972791881	-0.12119784577562262 
8.282828282828284	-0.30068064249496534	-0.11099832026777842 
8.686868686868685	-0.3435974866863075	-0.1012231877820884 
9.09090909090909	-0.38267691924672914	-0.09205568659953543 
9.494949494949495	-0.41818371684388567	-0.08357774075784105 
9.8989898989899	-0.4504025511808625	-0.07580948508471563 
10.303030303030301	-0.47961833839421375	-0.06873460829866251 
10.707070707070706	-0.5061049098226275	-0.06231645476167366 
11.11111111111111	-0.5301189395177697	-0.056508137379141336 
11.515151515151516	-0.5518971481695378	-0.05125878599015217 
11.919191919191917	-0.5716555090981752	-0.04651731302328112 
12.323232323232325	-0.5895896402394618	-0.04223459323521052 
12.727272727272727	-0.6058758630349972	-0.03836463877632385 
13.131313131313128	-0.6206726013483527	-0.03486514573509466 
13.535353535353536	-0.6341219177058668	-0.03169765502420678 
13.939393939393938	-0.6463510641519726	-0.02882748380524107 
14.343434343434346	-0.6574739762849361	-0.02622352727801878 
14.747474747474747	-0.6675926716505614	-0.023857994000711102 
15.151515151515149	-0.6767985341583496	-0.02170611409378002 
15.555555555555557	-0.685173478810519	-0.019745844260494947 
15.959595959595958	-0.692790998581821	-0.017957583612367777 
16.36363636363636	-0.699717099575978	-0.016323907937238608 
16.767676767676768	-0.7060111328013239	-0.01482932603322252 
17.17171717171717	-0.7117265318289451	-0.013460059250614984 
17.575757575757578	-0.7169114657261317	-0.012203843891422645 
17.97979797979798	-0.7216094163232343	-0.011049755269877464 
18.38383838383838	-0.725859688282188	-0.009988051791300296 
18.78787878787879	-0.7296978597232422	-0.009010037228202853 
19.19191919191919	-0.7331561804154828	-0.008107939341377518 
19.5959595959596	-0.7362639237958203	-0.007274803063302957 
20.0	-0.7390476983792447	-0.006504396576698805 
